SER_NUM	FROM_FIRST_TIME	BEFORE_US	TOT_MATCHED	BEFORE_US_PROMILE	MATCHED_FLG
5	190	19	8147	2.3	0
6	200	41	8147	5.0	0
7	245	41	8185	5.0	0
8	277	42	8185	5.1	0
9	330	43	8187	5.3	0
10	361	22	8212	2.7	0
11	403	32	8212	3.9	0
12	437	40	8212	4.9	0
13	477	40	8229	4.9	0
14	488	14	8312	1.7	0
1	0	33	24167	1.4	0
2	46	23	24212	0.9	0
3	56	23	24212	0.9	0
4	78	23	24212	0.9	1
5	131	24	24389	1.0	0
6	152	41	24389	1.7	0
1	0	15	9541	1.6	0
2	10	15	9541	1.6	0
3	51	41	9541	4.3	0
4	83	20	9543	2.1	0
5	104	5	9543	0.5	0
6	114	20	9543	2.1	0
7	275	15	9698	1.5	0
1	0	12	3674	3.3	0
2	85	22	3674	6.0	0
3	138	41	3674	11.2	0
4	169	48	3674	13.1	0
5	201	41	3674	11.2	0
1	0	15	3582	4.2	0
1	0	30	7852	3.8	0
2	20	41	7856	5.2	0
3	71	41	7856	5.2	0
4	162	39	7880	4.9	0
5	253	41	8010	5.1	0
6	305	43	8020	5.4	0
1	0	33	3511	9.4	0
2	10	21	3511	6.0	0
3	41	38	3553	10.7	0
4	62	16	3553	4.5	0
5	82	41	3557	11.5	0
6	122	16	3614	4.4	0
7	142	41	3614	11.3	0
8	253	41	3615	11.3	0
1	0	41	6093	6.7	0
2	30	25	6107	4.1	0
3	40	25	6107	4.1	0
4	60	41	6107	6.7	0
5	70	25	6107	4.1	0
6	231	41	6236	6.6	0
7	312	38	6246	6.1	0
1	0	20	75828	0.3	1
2	50	43	76566	0.6	0
3	60	22	76694	0.3	0
4	110	45	77484	0.6	0
1	0	41	6010	6.8	0
2	20	20	6010	3.3	0
3	41	21	6010	3.5	0
4	142	15	6050	2.5	0
5	183	22	6050	3.6	0
6	203	41	6050	6.8	0
1	0	30	15374	2.0	0
2	70	30	15383	2.0	0
3	81	41	15383	2.7	0
4	111	33	15383	2.1	0
5	131	41	15383	2.7	0
6	141	32	15383	2.1	0
7	202	36	15609	2.3	0
8	298	41	15644	2.6	0
9	449	44	16829	2.6	0
1	0	19	15192	1.3	1
1	0	41	7600	5.4	0
2	21	23	7600	3.0	0
3	31	23	7600	3.0	0
4	202	22	8261	2.7	0
1	0	13	32921	0.4	0
2	50	22	32957	0.7	0
3	141	22	32971	0.7	0
4	151	25	32971	0.8	0
5	222	15	32991	0.5	0
6	303	32	33341	1.0	0
1	0	37	26669	1.4	0
2	12	43	26672	1.6	0
3	65	47	26835	1.8	0
4	118	41	27249	1.5	1
1	0	41	3273	12.5	0
2	91	39	3479	11.2	0
1	0	41	7914	5.2	0
2	81	40	7914	5.1	0
3	151	18	8224	2.2	0
4	161	41	8313	4.9	1
5	242	20	8811	2.3	0
6	292	30	8973	3.3	0
7	302	40	8973	4.5	0
8	312	41	8973	4.6	0
9	372	39	8985	4.3	0
1	0	34	29113	1.2	0
2	30	38	29215	1.3	0
3	51	41	29227	1.4	0
4	111	38	29457	1.3	0
5	121	9	29465	0.3	0
6	151	45	29546	1.5	0
7	171	23	29666	0.8	0
8	191	38	29672	1.3	0
9	262	25	29683	0.8	0
10	272	40	29683	1.3	0
11	302	16	30107	0.5	0
1	0	41	3581	11.4	0
2	21	20	3581	5.6	0
3	51	19	3783	5.0	0
4	61	39	3783	10.3	0
5	81	19	3786	5.0	0
6	202	31	3892	8.0	0
7	212	19	3892	4.9	0
8	222	17	3896	4.4	0
1	0	15	28615	0.5	0
2	20	15	28655	0.5	0
3	50	25	28701	0.9	0
4	80	31	28760	1.1	0
1	0	29	6100	4.8	0
2	42	28	6225	4.5	0
3	102	19	6596	2.9	0
4	112	36	6606	5.4	0
5	232	28	6842	4.1	1
6	302	41	7011	5.8	0
1	0	41	4914	8.3	0
2	12	39	4914	7.9	0
3	52	15	4922	3.0	0
4	78	30	4926	6.1	0
5	90	22	4926	4.5	0
6	113	41	4926	8.3	0
7	126	22	4926	4.5	0
8	168	41	4926	8.3	0
9	272	41	4940	8.3	0
